Afghanistan;Afghani;AFA
Albanien;Lek;ALL
Algeriet;Dinar;DZD
Amerikanska Jungfruöarna;Dollar;USD
Amerikanska Samoa;Dollar;USD
Andorra;Euro;EUR
Angola;Kwanza;AOA
Anguilla;Dollar;XCD
Antigua och Barbuda;Dollar;XCD
Argentina;Peso;ARS
Armenien;Dram;AMD
Aruba;Florin;AWG
Australien;Dollar;AUD
Azerbajdzjan;Manat;AZN
Bahamas;Dollar;BSD
Bahrain;Dinar;BHD
Bangladesh;Taka;BDT
Barbados;Dollar;BBD
Belgien;Euro;EUR
Belize;Dollar;BZD
Benin;Franc;XOF
Bermudas;Dollar;BMD
Bhutan;Ngultrum;BTN
Bhutan;Rupee;INR
Bolivia;Boliviana;BOB
Bosnien och Hercegovina;Marka;BAM
Botswana;Pula;BWP
Brasilien;Real;BRL
Brittiska jungfruöarna;Dollar;USD
Brunei;Dollar;BND
Bulgarien;Leva;BGL
Burkina Faso;Franc;XOF
Burma;Kyat;MMK
Burundi;Franc;BIF
Caymanöarna;Dollar;KYD
Centralafrikanska republiken;Franc;XAF
Chile;Peso;CLP
Colombia;Peso;COP
Cooköarna;Dollar;NZD
Costa Rica;Colón;CRC
Cypern;Euro;EUR
Danmark;Krone;DKK
Dominica;Dollar;XCD
Dominikanska republiken;Peso;DOP
Ecuador;Dollar;USD
Egypten;Pund;EGP
Elfenbenskusten;Franc;CFA
El Salvador;Dollar;USD
Ekvatorialguinea;Franc;XAF
Eritrea;Nakfa;ERN
Estland;Euro;EUR
Etiopien;Birr;ETB
Filippinerna;Peso;PHP
Färöarna;Krone;DKK
Falklandsöarna;Pund;FKP
Fiji;Dollar;FJD
Finland;Euro;EUR
Frankrike;Euro;EUR
Franska Guyana;Euro;EUR
Franska Polynesien;Franc;XPF
Gabon;Franc;XAF
Gambia;Dalasi;GMD
Georgien;Lari;GEL
Ghana;Cedi;GHC
Gibraltar;Gibraltar pund;GIP
Gibraltar;Pund;GBP
Grekland;Euro;EUR
Grenada;Dollar;XCD
Grönland;Krone;DKK
Guadeloupe;Euro;EUR
Guam;Dollar;USD
Guatemala;Quetzal;GTQ
Guatemala;Dollar;USD
Guinea;Franc;GNF
Guinea-Bissau;Franc;XOF
Guyana;Dollar;GYD
Haiti;Gourde;HTG
Honduras;Lempira;HNL
Hongkong;Dollar;HKD
Indien;Rupee;INR
Indonesien;Rupiah;IDR
Iran;Rial;IRR
Irak;Dinar;IQD
Irland;Euro;EUR
Island;Krona;ISK
Isle of Man;Pund;GBP
Israel;Shekel;ILS
Italien;Euro;EUR
Jamaica;Dollar;JMD
Japan;Yen;JPY
Jemen;Rial;YER
Jordanien;Dinar;JOD
Kambodja;Riel;KHR
Kamerun;Franc;XAF
Kanada;Dollar;CAD
Kenya;Shilling;KES
Kina;Yuan;CNY
Kiribati;Dollar;AUD
Komorerna;Franc;KMF
Kongo-Brazzaville;Franc;XAF
Kongo-Kinshasa;Franc;CDF
Kosovo;Euro;EUR
Kroatien;Kuna;HRK
Kuba;Peso;CUP
Kuwait;Dinar;KWD
Laos;Kip;LAK
Lesoto;Loti;LSL
Lesoto;Rand;ZAR
Lettland;Lats;LVL
Libanon;Pund;LBP
Liberia;Dollar;LRD
Libyen;Dinar;LYD
Liechtenstein;Franc;CHF
Litauen;Litas;LTL
Luxemburg;Euro;EUR
Madagaskar;Franc/Ariary;MGF
Makedonien;Denar;MKD
Malawi;Kwacha;MWK
Malaysia;Ringgit;MYR
Maldiverna;Rufiyaa;MVR
Mali;Franc;XOF
Malta;Euro;EUR
Marocko;Dirham;MAD
Marshallöarna;Dollar;USD
Martinique;Euro;EUR
Mauritius;Rupee;MUR
Mayotte;Euro;EUR]
Mexiko;Peso;MXP
Mikronesiska federationen;Dollar;USD
Moçambique;Metical;MZM
Moldavien;Leu;MDL
Monaco;Euro;EUR
Mongoliet;Tögrög (tugrik);MNT
Namibia;Namibisk dollar;NAD
Namibia;Rand;ZAR
Nauru;Dollar;AUD
Nederländerna;Euro;EUR
Nederländska Antillerna;Gulden;ANG
Nepal;Rupee;NPR
Nicaragua;Cordoba;NIO
Niger;Franc;XOF
Nigeria;Naira;NGN
Nordkorea;Won;KPW
Norge;Norsk krone;NOK
Nya Zeeland;Dollar;NZD
Oman;Rial;OMR
Pakistan;Rupee;PKR
Panama;Balboa;PAB
Panama;dollar;USD
Papua Nya Guinea;Kina;PGK
Paraguay;Guarani;PYG
Peru;Nuevo sol;PEN
Pitcairnöarna;Dollar;NZD
Polen;Złoty;PLN (Till 1994: PLZ)
Portugal;Euro;EUR
Puerto Rico;Dollar;USD
Réunion;Euro;EUR
Rumänien;Leu;RON (Till 2005: ROL)
Ryssland;Rubel;RUB
Rwanda;Franc;RWF
Saint Kitts och Nevis;Dollar;XCD
Saint Lucia;Dollar;XCD
Saint-Pierre-et-Miquelon;Euro;EUR
Saint Vincent och Grenadinerna;Dollar;XCD
Salomonöarna;Dollar;SBD
Samoa;Tala;SAT
Sankta Helena;Pund;SHP
São Tomé och Príncipe;Dobra;STD
Saudiarabien;Riyal;SAR]
Schweiz;Franc;CHF
Senegal;Franc;XOF
Serbien;Dinar;RSD
Sierra Leone;Leone;SLL
Singapore;Dollar;SGD
Slovakien;Euro;EUR
Slovenien;Euro;EUR
Spanien;Euro;EUR
Sri Lanka;Rupee;LKR
Storbritannien;Pund;GBP
Sudan;Dinar;SDD
Surinam;Surinamesisk dollar;SRD
Swaziland;Lilangeni;SZL
Sverige;Krona;SEK
Sydafrika;Rand;ZAR
Sydkorea;Won;KRW
Syrien;Pund;SYP
Taiwan;Dollar;TWD
Tanzania;Shilling;TZS
Tchad;Franc;XAF
Thailand;Baht;THB
Tjeckien;Koruna;CZK
Togo;Franc;XOF
Tonga;Pa'anga;TOP
Trinidad och Tobago;Dollar;TTD
Tunisien;Dinar;TND
Turkiet;Lira;TL
Turkmenistan;Manat;TMM
Turks- och Caicosöarna;Dollar;USD
Tuvalu;Dollar;AUD
Tyskland;Euro;EUR
Uganda;Shilling;UGX
Ukraina;Hryvnia;UAH
Ungern;Forint;HUF
Uruguay;Peso;UYU
USA;Dollar;USD
Uzbekistan;Sum;UZS
Vanuatu;Vatu;UVU
Venezuela;Bolivar;VEB
Vietnam;Dong;VND
Vitryssland;Rubel;BYR
Wallis- och Futunaöarna;Franc;XPF
Zambia;Kwacha;ZMK
Zimbabwe;Dollar;ZWD
Österrike;Euro;EUR
Östtimor;Dollar;USD
