UTC-12:00;Internationella datumlinjen, väst
UTC-11:00;Coordinated Universal Time-11
UTC-10:00;Hawaii
UTC-09:00;Alaska
UTC-08:00;Baja California
UTC-08:00;Pacific Time (USA och Kanada)
UTC-07:00;Arizona
UTC-07:00;Chihuahua, La Paz, Mazatlan
UTC-07:00;Mountain Time (USA och Kanada)
UTC-06:00;Central Time (USA och Kanada)
UTC-06:00;Centralamerika
UTC-06:00;Guadalajara, Mexico City, Monterrey
UTC-06:00;Saskatchewan
UTC-05:00;Bogota, Lima, Quito
UTC-05:00;Eastern Time (USA och Kanada)
UTC-05:00;Indiana (Öst)
UTC-04:30;Caracas
UTC-04:00;Asunción
UTC-04:00;Atlantic Time (Kanada)
UTC-04:00;Cuiaba
UTC-04:00;Georgetown, La Paz, Manaus, San Juan
UTC-04:00;Santiago
UTC-03:30;Newfoundland
UTC-03:00;Brasilia
UTC-03:00;Buenos Aires
UTC-03:00;Cayenne, Fortaleza
UTC-03:00;Grönland
UTC-03:00;Montevideo
UTC-03:00;Salvador
UTC-02:00;Coordinated Universal Time-02
UTC-02:00;Mid-Atlantic
UTC-01:00;Azorerna
UTC-01:00;Kap Verde-öarna
UTC;Casablanca
UTC;Coordinated Universal Time
UTC;Dublin, Edinburgh, Lissabon, London
UTC;Monrovia, Reykjavik
UTC+01:00;Amsterdam, Berlin, Bern, Rom, Stockholm, Wien
UTC+01:00;Belgrad, Bratislava, Budapest, Ljubljana, Prag
UTC+01:00;Bryssel, Köpenhamn, Madrid, Paris
UTC+01:00;Sarajevo, Skopje, Warszawa, Zagreb
UTC+01:00;Tripoli
UTC+01:00;Windhoek
UTC+01:00;Västra centralafrika
UTC+02:00;Aten, Bukarest
UTC+02:00;Beirut
UTC+02:00;Damaskus
UTC+02:00;Harare, Pretoria
UTC+02:00;Helsingfors, Kiev, Riga, Sofia, Tallinn, Vilnius
UTC+02:00;Istanbul
UTC+02:00;Jerusalem
UTC+02:00;Kairo
UTC+02:00;Östeuropa
UTC+03:00;Amman
UTC+03:00;Bagdad
UTC+03:00;Kaliningrad, Minsk
UTC+03:00;Kuwait, Riyadh
UTC+03:00;Nairobi
UTC+03:30;Teheran
UTC+04:00;Abu Dhabi, Muscat
UTC+04:00;Baku
UTC+04:00;Jerevan
UTC+04:00;Moskva, S:t Petersburg, Volgograd
UTC+04:00;Port Louis
UTC+04:00;Tbilisi
UTC+04:30;Kabul
UTC+05:00;Asjchabad, Tasjkent
UTC+05:00;Islamabad, Karachi
UTC+05:30;Chennai, Kolkata, Mumbai, New Delhi
UTC+05:30;Sri Jayawardenepura
UTC+05:45;Katmandu
UTC+06:00;Astana
UTC+06:00;Dacca
UTC+06:00;Jekaterinburg
UTC+06:30;Rangoon
UTC+07:00;Bangkok, Hanoi, Djakarta
UTC+07:00;Novosibirsk
UTC+08:00;Beijing, Chongqing, Hongkong, Urumqi
UTC+08:00;Krasnojarsk
UTC+08:00;Kuala Lumpur, Singapore
UTC+08:00;Perth
UTC+08:00;Taipei
UTC+08:00;Ulan Bator
UTC+09:00;Irkutsk
UTC+09:00;Osaka, Sapporo, Tokyo
UTC+09:00;Söul
UTC+09:30;Adelaide
UTC+09:30;Darwin
UTC+10:00;Brisbane
UTC+10:00;Canberra, Melbourne, Sydney
UTC+10:00;Guam, Port Moresby
UTC+10:00;Hobart
UTC+10:00;Jakutsk
UTC+11:00;Solomonöarna, Nya Kaledonien
UTC+11:00;Vladivostok
UTC+12:00;Auckland, Wellington
UTC+12:00;Coordinated Universal Time+12
UTC+12:00;Fiji
UTC+12:00;Magadan
UTC+13:00;Nuku'alofa
UTC+13:00;Samoa
